Model 1,Model 2,N Common,Acc 1,Acc 2,p-value,Significant (p<0.05)
AF2,AF3,627,0.7926634768740032,0.9027113237639554,1.6241054719807776e-07,True
AF2,Boltz,627,0.7926634768740032,0.8564593301435407,0.003917460831386661,True
AF2,Chai,627,0.7926634768740032,0.861244019138756,0.001338229010770266,True
AF2,OpenFold,149,0.8389261744966443,0.6308724832214765,6.530630444913366e-05,True
AF2,Proteinx,627,0.7926634768740032,0.8022328548644339,0.7289185538924636,False
AF2,UniFold,37,0.918918918918919,0.5945945945945946,0.004180908203125,True
AF3,Boltz,1200,0.9,0.85,0.0003299744828213583,True
AF3,Chai,1200,0.9,0.85,0.00018942404753931314,True
AF3,OpenFold,319,0.8934169278996865,0.6238244514106583,7.969285615912287e-15,True
AF3,Proteinx,1200,0.9,0.81,7.305255742317097e-10,True
AF3,UniFold,67,0.9253731343283582,0.5522388059701493,4.649162292480469e-06,True
Boltz,Chai,1200,0.85,0.85,1.0,False
Boltz,OpenFold,319,0.8683385579937304,0.6238244514106583,1.5502098275003617e-11,True
Boltz,Proteinx,1200,0.85,0.81,0.01046796313383617,True
Boltz,UniFold,67,0.8656716417910447,0.5522388059701493,0.00019219517707824707,True
Chai,OpenFold,319,0.877742946708464,0.6238244514106583,2.646437700218312e-12,True
Chai,Proteinx,1200,0.85,0.81,0.011645406539762378,True
Chai,UniFold,67,0.835820895522388,0.5522388059701493,0.0013187271542847157,True
OpenFold,Proteinx,319,0.6238244514106583,0.8275862068965517,4.09804793129638e-08,True
OpenFold,UniFold,57,0.631578947368421,0.6140350877192983,1.0,False
Proteinx,UniFold,67,0.8059701492537313,0.5522388059701493,0.003326892852783203,True
